id,name,vernacularName,otherNames,wiktionary,glottologId,glottologFamilyId,glottologParentId,level,lat,long,country,iso639_3,iso639_1,scope,type,speakers,logo,logoDesc
1167,Catalan,català,,137507.0,stan1289,indo1319,sout3183,language,41.453,1.569,AD ES FR IT,cat,ca,I,L,4100000.0,ca,"Àngel Guimerà (1845 – 1924), a Spanish Nobel-nominated writer in the Catalan language"
1222,Czech,čeština,,42779.0,czec1258,indo1319,czec1261,language,49.873398,15.10437,AT CZ PL SK,ces,cs,I,L,14000000.0,cs,"Jan Neruda (1834 – 1891), a Czech journalist, writer, poet and art critic"
1464,Welsh,Cymraeg,,13280.0,wels1247,indo1319,oldm1247,language,52.0,-4.0,GB,cym,cy,I,L,993600.0,cy,"Alun Lewis (1915 – 1944), a Welsh poet"
1482,Danish,Dansk,,46381.0,dani1285,indo1319,sout3248,language,54.8655,9.36284,DE DK FO GL,dan,da,I,L,6000000.0,da,"Hans Peter Holst (1811 – 1893), a Danish poet"
1540,German,Deutsch,,290801.0,stan1295,indo1319,glob1243,language,48.649,12.4676,AT BE CH CZ DE DK FR HU IT LI LU NL PL RO SI SK,deu,de,I,L,95000000.0,de,"Johann Wolfgang von Goethe (1749 – 1832) a German poet, playwright, novelist, scientist, statesman, theatre director, and critic"
1800,Greek,Ελληνική,,69622.0,mode1248,indo1319,nucl1783,language,38.36,23.13,AL BG CY EG GR IT MK RO TR UA,ell,el,I,L,13400000.0,el,"Constantine P. Cavafy (1863 – 1933), a Greek poet, journalist and civil servant from Alexandria"
1824,English,English,,1059319.0,stan1293,indo1319,macr1271,language,53.0,-1.0,AU BM BR BZ CA CC CK CU CX DO FK GB GG GI GP GS GT GY HN IE IM IO JE KY LR MX NF PN SH SR UM US VE ZA,eng,en,I,L,400000000.0,en,"William Shakespeare (1564 – 1616), an English playwright, poet, and actor, widely regarded as the greatest writer in the English language and the world's greatest dramatist"
1838,Esperanto,Esperanto,,124003.0,espe1235,arti1236,espe1236,language,49.3273,2.81045,PL,epo,eo,I,C,180000.0,eo,"L. L. Zamenhof (15 December 1859 – 14 April 1917),  an ophthalmologist who lived for most of his life in Warsaw"
1860,Estonian,eesti,,9361.0,esto1258,ural1272,cent2329,language,58.73,25.78,EE LV RU,est,et,M,L,1100000.0,et,"Marie Under (1883 – 1980), one of the greatest Estonian poets"
1900,Persian,فارسی,,13363.0,fars1254,indo1319,mode1259,family,32.0,53.0,IR,fas,fa,M,L,70000000.0,fa,"Ruhollah Khomeini (1900 – 1989), an Iranian political and religious leader and the founder of the Islamic Republic of Iran"
1916,Finnish,suomi,,214832.0,finn1318,ural1272,nucl1717,language,64.7628,25.5577,EE FI NO RU SE,fin,fi,I,L,5800000.0,fi,"Aleksis Kivi (1834 – 1872), one of the greatest Finnish authors"
1943,French,Français,,372707.0,stan1290,indo1319,glob1239,language,48.0,2.0,AD BE CA CH FR GF IT LU MC PM TF US,fra,fr,I,L,76800000.0,fr,"Louis XVIII (1755 – 1824), King of France during the French Revolution"
2129,Scottish Gaelic,Gàidhlig,,15834.0,scot1245,indo1319,east2734,language,56.7574,-5.24366,GB,gla,gd,I,L,57000.0,gd,"Sorley MacLean (1911 – 1996), a Scottish Gaelic poet"
2132,Irish,Gaeilge,,31634.0,iris1253,indo1319,mode1265,language,53.2186,-7.61509,GB IE,gle,ga,I,L,170000.0,ga,"Francis Bacon (1909 – 1992), an Irish-born British figurative painter known for his raw, unsettling imagery"
2133,Galician,Galego,,33437.0,gali1258,indo1319,gali1263,language,42.2446,-7.5343,ES PT,glg,gl,I,L,2400000.0,gl,"Rosalía de Castro (1837 – 1885), a Galician poet, strongly identified with her native Galicia and the celebration of the Galician language"
2213,Ancient Greek,Ἑλληνική ,,30187.0,anci1242,indo1319,east2798,language,39.8155,21.9129,GR,grc,,I,H,,grc,"Epicurus (341–270 BC), an ancient Greek philosopher and sage who founded Epicureanism, a highly influential school of philosophy"
2252,Gujarati,ગુજરાતી,,3374.0,guja1252,indo1319,guja1256,language,22.687,71.0962,BD IN PK,guj,gu,I,L,56000000.0,gu,"Keshavram Kashiram Shastri (born 1905), the founding leader of the Vishwa Hindu Parishad"
2343,Serbo-Croatian,Српскохрватски,,59701.0,sout1528,indo1319,west2804,language,44.15,18.81,RS,hbs,sh,M,L,21000000.0,sh,"Ivo Andrić (1892 – 1975), a Yugoslav novelist, poet, and short story writer who won the Nobel Prize in Literature in 1961"
2351,Hebrew,עברית,,12668.0,hebr1245,afro1255,hebr1246,language,31.1056,35.0179,IL JO LB PS SY,heb,he,I,L,5000000.0,he,"David Ben-Gurion (1886 – 1973), the primary national founder of the State of Israel and the first Prime Minister of Israel"
2373,Hindi,हिंदी,Hindavi,15707.0,hind1269,indo1319,hind1270,language,25.0,77.0,BD BT IN NP,hin,hi,I,L,322000000.0,hi,"Mahatma Gandhi (1869 – 1948), an Indian lawyer, anti-colonial nationalist and political ethicist"
